title,author,publisher,library,platform,provider,image_url,isbn,brcd,ctts_dvsn_code,ctgr_id,sntn_auth_code
회계기초 탈출기,장홍석,시대인,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801143400216/L4801143400216.jpg,,4801143400216,001,0117,1112740701
구미호 꽃집,신은영,이지북,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801193914732/L4801193914732.jpg,,4801193914732,001,330505,1112548402
마이 가디언 3,이재문,이지북,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801199398192/L4801199398192.jpg,,4801199398192,001,330505,1113494401
최소한의 세금공부,조문교,매일경제신문사,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801164848271/L4801164848271.jpg,,4801164848271,001,0117,1121406901
누구나 비밀은 있다,고혜진,달그림,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801191592802/L4801191592802.jpg,,4801191592802,001,310505,1113141501
사랑스런 널 응원해,김기선,상상나래,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/480D251272830/L480D251272830.jpg,,480D251272830,001,3399,
메리식당,김유,천개의바람,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801165737086/L4801165737086.jpg,,4801165737086,001,310505,1112782301
세상을 바꾼 결단의 리더들,유필화,쌤앤파커스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801124070308/L4801124070308.jpg,,4801124070308,001,0115,1000710101
최소한의 삼국지,최태성,프런트페이지,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801193401584/L4801193401584.jpg,,4801193401584,001,0735,1000992601
미술관에 간 뇌과학자,송주현,어바웃어북,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801192229738/L4801192229738.jpg,,4801192229738,001,1903,1118672203
하버드 자존감 수업,로널드 시걸,현대지성,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801139728607/L4801139728607.jpg,,4801139728607,001,030101,2016515701
한번 시작하면 잠들 수 없는 세계사,김도형(별별역사),빅피시,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/480N251129190/L480N251129190.jpg,,480N251129190,001,1727,
늙지 않는 뇌,데일 브레드슨,심심,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801172540884/L4801172540884.jpg,,4801172540884,001,1903,2009734701
탁! 깨달음의 대화,법륜,정토출판,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801187297926/L4801187297926.jpg,,4801187297926,001,090501,1000179101
나노 바나나,문수민,생능북스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801194630358/L4801194630358.jpg,,4801194630358,001,2119,1113485701
리얼 교토 오사카 고베 나라(2026~2027),황성민,한빛라이프,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801194725269/L4801194725269.jpg,,4801194725269,001,270311,1114607101
넘어지지만 않아도 오래 살 수 있다,김헌경,비타북스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801158464524/L4801158464524.jpg,,4801158464524,001,2301,1113219004
도파민 세대를 위한 문해력 특강,이승화,문예춘추사,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4808976047663/L4808976047663.jpg,,4808976047663,001,3511,
생명공학 쫌 아는 10대,이고은,풀빛,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801194636077/L4801194636077.jpg,,4801194636077,001,3521,1113295202
스페인 셀프트래블(2026-2027),송윤경,상상출판,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801167822261/L4801167822261.jpg,,4801167822261,001,270307,1104054202
새벽의 화원,온다 리쿠,반타,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801194979907/L4801194979907.jpg,,4801194979907,001,110501,2000314201
세상의 마지막 우체국,무라세 다케시,모모,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801175770349/L4801175770349.jpg,,4801175770349,001,110501,2009136801
세계미래보고서 2026-2036,박영숙,교보문고,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/480D251123110/L480D251123110.jpg,,480D251123110,001,010101,1001483301
검사열전,배기성,비아북,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801194348390/L4801194348390.jpg,,4801194348390,001,1715,1118402601
종착역에서 기다리는 너에게,이누준,알토북스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801194655191/L4801194655191.jpg,,4801194655191,001,110501,2018115101
진실한 동물도감,최형선,북스그라운드,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801168343147/L4801168343147.jpg,,4801168343147,001,330703,1112149701
같은 생각 다른 표현 직장인 영어 편,장승진,프랙티쿠스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4808968930485/L4808968930485.jpg,,4808968930485,001,1313,1002130002
꿈을 담은 병,2025-11-17,나는별,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4801188574668/L4801188574668.jpg,,4801188574668,001,310505,
결국 너의 시간은 온다,염경엽,웅진지식하우스,동대문구 도서관,Kyobo_New,교보문고,https://e-book.l4d.or.kr/upload/20244/content/ebook/4808901298757/L4808901298757.jpg,,4808901298757,001,050301,1121555401
