title,author,publisher,library,image_url,isbn
내가 암에 걸렸다면,마군,버들미디어,동작구 구립도서관 (교보),,
소수 공상,김민형,반니,동작구 구립도서관 (교보),,
유혹의 재발견 벗겨봐,김진기,모아북스,동작구 구립도서관 (교보),,
여유있게 자신있게 떠나는 여행 영어,김종득,백만문화사,동작구 구립도서관 (교보),,
"괜찮아, 괜찮아, 괜찮을거야 : 사랑받고 위로받고 싶은 당신을 위한 심리치유 에세이",선안남 저,소울메이트,동작구 구립도서관 (교보),,
똑똑한 여우들의 영양만점 홈베이킹,이지혜,경향미디어,동작구 구립도서관 (교보),,
길 위의 인문학,"구효서, 김도연, 박종기 외",경향미디어,동작구 구립도서관 (교보),,
더 리더,최남수,경향미디어,동작구 구립도서관 (교보),,
금감원의 알기 쉬운 금융이야기,금융감독원,부광출판사,동작구 구립도서관 (교보),,
세상을 바꾸는 꿈의 멘토 안철수,"유영근 그림,이아연 글",참돌어린이,동작구 구립도서관 (교보),,
최고의 수업 : 교실 안에서 펼쳐지는 교사와 학생의 행복한 드라마,배광호,다산에듀,동작구 구립도서관 (교보),,
데스노트에 이름을 쓰면 살인죄일까 : 대중문화 속 법률을 바라보는 어느 오타쿠의 시선,"김지룡, 정준욱 , 갈릴레오 SNC",애플북스,동작구 구립도서관 (교보),,
"웃음치료, 내몸을 살린다",김현표,모아북스,동작구 구립도서관 (교보),,
육아의조건,이보연,끌레마,동작구 구립도서관 (교보),,
우리아빠가달라졌어요,이보연,끌레마,동작구 구립도서관 (교보),,
엄마없다 : 김민아 소설,김민아,끌레마,동작구 구립도서관 (교보),,
성공하는 사람들의 대화의 기술,한국인재경영연구회,경영자료사,동작구 구립도서관 (교보),,
스타일 앤 스타,송은주,끌레마,동작구 구립도서관 (교보),,
이력서 자기소개서 작성법,김용환,경영자료사,동작구 구립도서관 (교보),,
"멋진 남자, 멋남",박준성,라이스메이커,동작구 구립도서관 (교보),,
모든 슬픔에는 끝이 있다 : 30년간 200만명을 치유한 위로의 심리학,로버타 템즈,애플북스,동작구 구립도서관 (교보),,
