title,author,publisher,library,platform,provider,image_url,isbn
그 누가 뭐래도 독도는 우리 땅,김현,봄마중,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801192595833/L4801192595833.jpg,
나이 들수록 행복해지는 인생의 태도에 관하여,글래디스 맥게리,부키,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193528724/L4801193528724.jpg,
모조품 남매,야기사와 사토시,문예춘추사,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808976047175/L4808976047175.jpg,
일과 성공의 길을 묻다,마쓰시타 고노스케,지니의서재,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194620090/L4801194620090.jpg,
그 남자의 속물근성에 대하여,임찬묵,디페랑스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194267295/L4801194267295.jpg,
밤새들의 도시,김주혜,다산책방,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801130666809/L4801130666809.jpg,
토막 난 우주를 안고서,김초엽,허블,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193078564/L4801193078564.jpg,
넥스트 한류,고삼석,새빛,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194885086/L4801194885086.jpg,
마지막 기도,야쿠마루 가쿠,북플라자,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193324531/L4801193324531.jpg,
브레인폰을 켜라,일지 이승헌,한문화,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808956994901/L4808956994901.jpg,
1일 1책 인문학 세계 고전,사사키 다케시 외,이다미디어,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801163940778/L4801163940778.jpg,
나이 들 용기,기시미 이치로,21세기북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801173572464/L4801173572464.jpg,
너무 오래 오타쿠로 살아서,쑨디,21세기북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801173572877/L4801173572877.jpg,
모든 것을 파괴하는 어두운 열정: 증오의 역습,라인하르트 할러,책사람집,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194140017/L4801194140017.jpg,
안다는 착각,니시바야시 가츠히코,21세기북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801173572457/L4801173572457.jpg,
"버리는 부동산, 살리는 부동산",김서준,원앤원북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801170436400/L4801170436400.jpg,
브라이언 트레이시 성공 불변의 법칙,브라이언 트레이시,미래지식,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193852355/L4801193852355.jpg,
누구도 대신 살아 주지 않는다,브라이언 트레이시,오픈도어북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801173740702/L4801173740702.jpg,
리더의 길을 묻다,마쓰시타 고노스케,지니의서재,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194620076/L4801194620076.jpg,
합리적 낙관주의자,수 바르마,흐름출판,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808965967200/L4808965967200.jpg,
그냥 나로 살아도 괜찮아,천하이센,더페이지,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194156209/L4801194156209.jpg,
그냥 떠 있는 것 같아도 비상하고 있다네,프리드리히 니체,나무생각,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801162183527/L4801162183527.jpg,
뜨겁게 도와주는 북극곰 센터,황지영,북스그라운드,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801168342812/L4801168342812.jpg,
세상을 움직이는 놀라운 화학,표트르 발치트,미디어숲,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801158742530/L4801158742530.jpg,
수의사는 개를 이렇게 키운다,정병성,시대인,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801138391963/L4801138391963.jpg,
식탁 위의 권력 미식 경제학,쑤친,이든서재,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194812006/L4801194812006.jpg,
오! 쉬운 영어,백선엽,생각정원,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193811284/L4801193811284.jpg,
일상이 돈이 되는 숏폼,리지팍(박자령),애플씨드,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801199072924/L4801199072924.jpg,
퇴마록 말세편 1,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654866/L4801194654866.jpg,
퇴마록 말세편 2,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654859/L4801194654859.jpg,
퇴마록 말세편 3,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654842/L4801194654842.jpg,
퇴마록 말세편 4,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654835/L4801194654835.jpg,
퇴마록 말세편 5,이우혁,반타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654828/L4801194654828.jpg,
