title,author,publisher,library,provider,platform,image_url,isbn
"코인 리셋 : 비트코인, 알트코인, 스테이블코인이 이룰 금융 시스템의 대전환",남광택,시대인,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/160689290/M,
지금 당장 연금 투자를 시작하라,오기찬,포르체,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/142873412/M,
인생 리셋,이드페이퍼,데이원,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/161384927/M,
달러 이후의 질서,케네스 로고프,윌북(willbook),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/161402608/M,
트레이딩의 전설,키움증권 채널K,넥스트씨,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/161409302/M,
코린이도 술술 읽는 친절한 코인책,노윤주,메이트북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/161341781/M,
"AI 시대, 양육의 재발견",에얄 도론,알에이치코리아(RHK),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/160689911/M,
극장에는 항상 상훈이 형이 있다,한상훈,불란서책방,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/160792816/M,
회사 없는 세계에서 살아남기 : 삶을 지키는 나만의 방패,부아c,블랙피쉬,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/159175841/M,
AI가 바꾸는 일터의 미래,김성준,포르체,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/160407782/M,
여자×단식 : Fast like a girl : 여성을 위한 슬기로운 단식 라이프스타일,민디 펠츠,북드림,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/159536888/M,
"마흔의 기술 : 나이 들수록 지혜, 행복, 가족, 관계, 내면이 충만해지는",이호선,오아시스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/159041589/M,
테세우스 패러독스,이경희,안전가옥,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/159139560/M,
천문학이라는 위로 : 방항하는 존재를 위한 암흑 속 길을 찾는 가장 찬란한 우주 강의,황호성,21세기북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/159170340/M,
처음이지만 프로처럼 쓰는 노션 Notion,박한용(노션너굴),디지털북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/159269073/M,
미래가 보이는 일기장,고혜원,다이브,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/159287571/M,
"재무제표, 돈의 흐름을 읽어라 : 이익이 아닌 현금으로 기업가치 보는 법",강대준,비즈니스북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/159012685/M,
