title,author,publisher,library,provider,platform,image_url,isbn,goods_id
지금 당장 연금 투자를 시작하라,오기찬,포르체,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/142873412/M,,142873412
[단독] 신의 비오톱,나기라 유,문예춘추사,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/160411625/M,,160411625
그 한 사람을 기억하는 순간,루미엘,루미엘북스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/165190289/M,,165190289
마이 가디언 2 : 우리는 사랑일까,이재문 글,이지북,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/149854260/M,,149854260
인생 리셋,이드페이퍼,데이원,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/161384927/M,,161384927
네이티브의 눈으로 다시 배우는 티처조의 영어식 사고 수업,"조찬웅,Coleen Dwyer",동양북스(동양books),강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/160729026/M,,160729026
달러 이후의 질서,케네스 로고프,윌북(willbook),강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/161402608/M,,161402608
재무제표 핵심 투자 수업,차영주,클랩북스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/159176123/M,,159176123
나의 두번째 월급 만들기,"이장원,이채형",이든하우스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/161382278/M,,161382278
AI 2026 트렌드&활용백과,김덕진,스마트북스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/160609164/M,,160609164
한 권으로 끝내는 절세 배당 은퇴 공식,김제림,매일경제신문사,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150247319/M,,150247319
4~7세 보고 만지는 수학은 이렇게 가르칩니다,최경희,블루무스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150250507/M,,150250507
있는 그대로 베트남,강태규,초록비책공방,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150255008/M,,150255008
청소년 소설과 함께하는 슬기로운 환경 수업,"정은해,전지혜,신윤정 공저",초록비책공방,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150308575/M,,150308575
나의 저시력인 친구를 소개합니다,"신연서,차향미,김창수",초록비책공방,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150308576/M,,150308576
주문하신 복근 나왔습니다,캥맨(최재영),중앙북스(books),강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/151362103/M,,151362103
내가 먹지 않는 이유는요,박지현 글,풀빛,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150163676/M,,150163676
이웃에 괴물이 산다,박지숙 글,풀빛,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150167645/M,,150167645
행복 강박,올리버 버크먼,북플레저,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/152321360/M,,152321360
엘리베이터,야엘 프랑켈 글,후즈갓마이테일,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/154916844/M,,154916844
[단독] 부자의 기술,"박승영,김수연",티더블유아이지,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/149224834/M,,149224834
한달만에 책쓰기,도여사,작가와,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150719807/M,,150719807
축구가 10배 더 재밌어지는 경기 관전법,하야시 료헤이,초록북스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150795136/M,,150795136
호흡 리셋,신효상,이덴슬리벨(EAT&SLEEPWELL),강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150801226/M,,150801226
[단독] 토마토 컵라면,차정은,부크크,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/151050380/M,,151050380
이웃집 너스에이드,치넨 미키토,소담출판사,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150705075/M,,150705075
조종당하는 인간,김석재,스노우폭스북스P,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150647282/M,,150647282
국영수는 핑계고 인생을 배웁니다,조이엘,섬타임즈,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150663863/M,,150663863
세계는 왜 끝없이 싸울까?,오승현 글,개암나무,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/149621659/M,,149621659
아름다운 아내의 무서운 비밀,신동흔,휴머니스트,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150554432/M,,150554432
짱짱하게 놀이공원,아스나 디자인 그림,너머학교,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150249516/M,,150249516
서울의 하이스트리트,김성순,디자인하우스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150311478/M,,150311478
각성,김요한,떠오름,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/149876895/M,,149876895
미니멀리스트 창업가,사힐 라빈지아,캐피탈엣지랩스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150274151/M,,150274151
초코초코 초코해!,한라경 글,토끼섬,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/149661376/M,,149661376
어쩌다 배구,양자현 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150163683/M,,150163683
오더: 아기 해달 이야기,캐서린 애플게이트 글,미운오리새끼,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150109082/M,,150109082
전사들 그래픽 노블 : 예언의 시작1,에린헌터 글,가람어린이,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150109083/M,,150109083
진조쌤 35일 기적의 수영책,진종남(진조쌤),서스테인,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/150117152/M,,150117152
