title,author,publisher,library,provider,platform,image_url,isbn
최고의 주식 퀄리티 투자,뤽 크루제,부크온,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/154298576/XL,
"나를 가스팅하라! : 가스라이팅에서 벗어나, 불확실한 시대를 이기는 법",김상미,책먹는살롱,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/154642822/XL,
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오 : 음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!","현병욱(오땡큐),신수진 공저",시프트,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/154105158/XL,
3번 다녀온 엄마는 다 계획이 있다,캄스(임지윤),캄스북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/154234806/XL,
책 읽는 사람들 : 자기계발러들의 책 추천 독서 기록 성장 에세이,선남숙 한민경 김란 정가주 유미경 최영자 금빛지혜 한명욱 조은미,책먹는살롱,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/154295311/XL,
책과 나 사이  : 독서가 우리에게 남긴 성장의 흔적들,이영숙 유희원 정희도 구영주 심하나 서아람 이행원 정미화 박정은,책먹는살롱,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/154642831/XL,
"돈에 관한 7가지 착각 : 지금까지의 공식 따윈 버리고, 새로운 부의 전략을 세워라!",롭 딕스,인플루엔셜,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/154626553/XL,
"사업의 철학 (10주년 기념판) : 성공한 사람들은 절대 말해 주지 않는, 성공의 모든 것",마이클 거버,라이팅하우스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/153847911/XL,
머니: 인류의 역사,데이비드 맥윌리엄스,포텐업,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/154253705/XL,
마흔 아빠 그리고 한 문장,글곰(글쓰는 곰돌이),작가와,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/154626729/XL,
고래눈이 내리다,김보영,래빗홀,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148343260/XL,
아티스트 웨이 30주년 기념 특별판,줄리아 캐머런,위즈덤하우스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148346082/XL,
이 행성을 모조리 네게 양보하겠어,하얀,부크크,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/147732356/XL,
기억은 눈을 감지 않는다,에이프릴 발라시오,반타,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148180964/XL,
격이 다른 마흔의 사소한 차이,클로이,딥앤와이드,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148181195/XL,
수능을 좌우하는 중학 국어 공부법 :  대치동 출신 김 선생의 독설,김민정,노르웨이숲,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148182136/XL,
영어는 그림으로 : 보기만 해도 알 수 있다!,마크(무라키 코우지),레드스톤,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148189557/XL,
혼자가 아니었구나,서영오,작가와,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148194655/XL,
"열혈 세종대왕 2 : 엇갈린 형제의 마음 : 역사를 생생하게, 우리 영웅 시리즈","박지연,박한 글",아울북,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148197551/XL,
우리집 강아지에게 양자역학 가르치기 : 나의 첫 양자 수업,채드 오젤,21세기북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148198085/XL,
생각의 주도권을 디자인하라 : AI를 도구를 넘어 무기로 만드는 질문의 힘,박용후,경이로움,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149120497/XL,
AI와 휴먼 인사이트,한국생성형AI연구원,커뮤니케이션북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148175962/XL,
온전한 사랑의 이해 : 사랑을 말할 때 우리가 놓치는 것들,다니엘,사운드인사이트(Sound Insight),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148180701/XL,
셜록 홈스의 개선,모리미 도미히코,내친구의서재,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148348817/XL,
간절히 말하면 기적처럼 이루어진다,이유진,유노북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148569285/XL,
끝까지 해내는 뇌,카이라 보비넷,갤리온,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148320614/XL,
"저속노화 마인드셋 : 노년내과 의사가 알려주는, 내 몸의 주도권을 되찾고 무너진 삶을 회복하는 법",정희원,웨일북,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148341946/XL,
넥스트 워커,이중학,클라우드나인,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148341952/XL,
세상에서 가장 짧은 경제사 : 5000년 부의 흐름을 읽는,앤드루 리,웅진지식하우스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148342564/XL,
아티스트 웨이 심화편,줄리아 캐머런,위즈덤하우스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148343027/XL,
"이제 나는 명랑하게 살기로 했다 : 몸은 가볍게, 마음은 즐겁게 살고 싶은  중장년을 위한 유쾌하고 건강한 삶의 지침서","이호선,김사랑",오아시스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148673727/XL,
신주로,요코미조 세이시,시공사,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148732402/XL,
너를 아끼며 살아라 : 나태주 시인이 들려주는 가장 소중한 말,나태주,더블북,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148406405/XL,
서스펜스 사전,"안젤라 애커만,베카 푸글리시",윌북(willbook),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148569286/XL,
나에겐 너무 어려운 스몰토크,피트 웜비,윌북(willbook),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148684952/XL,
빌런의 심리학,오시오 아쓰시,시그마북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148806328/XL,
수학의 숲을 걷다 : 개념 나무를 따라 걷는 지적 탐험,송용진,블랙피쉬,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148342902/XL,
컨셉 언어 수업 : 모호한 생각을 미래의 비전으로 바꾸는,호소다 다카히로,알에이치코리아(RHK),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148673733/XL,
"어른이지만, 용기가 필요해 : 도망가고 싶지만 오늘도 이불 밖으로 나와 ‘나‘로 살기 위해 애쓰는 모든 어른들에게",김유미,나무사이,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149125127/XL,
스위치온 다이어트 레시피북 : 살찌지 않는 건강한 몸으로 되돌리는 4주 다이어트 식단,"박용우,김영아",루미너스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148419633/XL,
너에게 묻는다,정용준,안온북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149275385/XL,
너무 늦은 시간,클레어 키건,다산책방,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148751859/XL,
언솔드,닐 셔스터먼,열린책들,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148882771/XL,
언와인드,닐 셔스터먼,열린책들,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148882773/XL,
바다가 들리는 편의점 4,마치다 소노코,모모,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148915009/XL,
왜 그들만 부자가 되는가,"필립 바구스,안드레아스 마르크바르트",북모먼트,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148915911/XL,
우리의 낙원에서 만나자,하태완,북로망스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149079394/XL,
두선생의 지도로 읽는 세계사 : 동양 편 : 지리로 ‘역사 아는 척하기’ 시리즈,한영준,21세기북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148786935/XL,
어른은 적도 편도 만들지 않는다 : 가까워도 상처 입지 않고 멀어도 외롭지 않은 관계 수업,장서우,청림출판,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148787371/XL,
불안에 관하여,베레나 카스트,을유문화사,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148806329/XL,
"어쩐지, 나만 힘든 것 같았다. : 그럼에도 하루를 살아내야 하는 모든 이에게",정윤,도서출판 별밤,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148819826/XL,
불편한 입시열 : 그 많던 열정은 어디로,이호준,도서출판 별밤,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148819841/XL,
"과학의 최전선 : 노화 연구에서 우주 탐사까지, 인류의 미래를 향한 지적 여행",패트릭 크래머,21세기북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148831554/XL,
노화도 설계하는 시대가 온다,"박상철,권순용,강시철",매일경제신문사,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148856115/XL,
어떻게 어른이 되는가 : 너와 나의 인간다움을 지키는 최소한의 삶의 덕목,엄성우,추수밭,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150109074/XL,
"드디어 만나는 천문학 수업 : 블랙홀부터 암흑 물질까지, 코페르니쿠스부터 허블까지, 인류 최대의 질문에 답하는 교양 천문학",캐럴린 콜린스 피터슨,현대지성,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148418781/XL,
아무도 가르쳐 주지 않는 변호사 선임의 비밀,현실변호사,좋은땅,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149118212/XL,
바다가 삼킨 세계사 : 12척 난파선에서 발견한 3500년 세계사 대항해,데이비드 기빈스,다산초당,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149609850/XL,
궤도,서맨사 하비,서해문집,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148548540/XL,
"아무튼, 리코더",황선우,코난북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148837178/XL,
화장품은 한국이 1등입니다,박종대,경향비피,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148564713/XL,
유현준의 세계 건축 대모험 1 이집트 : 피라미드 대탈출!,유현준 기획,아울북,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149699738/XL,
슬로 조깅 혁명,다나카 히로아키,웅진지식하우스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149727191/XL,
그림자 마법사들 2 : 마르세유의 비밀 조직,정채연,문학수첩,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149853574/XL,
생각 중독자를 위한 관계 수업 : 복잡한 인간관계를 풀어주는 생각 정리 솔루션,닉 트렌턴,청림출판,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150254083/XL,
상처 받지 않는 영혼  : 내면의 자유를 위한 놓아 보내기 연습 [10주년 기념판],마이클 A. 싱어,라이팅하우스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149189625/XL,
섹시하게 영어하기,김대영,유페이퍼,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150700579/XL,
부자들의 음모(개정판) : 부자 아빠의 8가지 돈의 규칙,로버트 기요사키,흐름출판,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150723234/XL,
박곰희 연금 부자 수업 : 4개의 통장으로 월 300만 원 만들기,박곰희,인플루엔셜,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151368643/XL,
국가의 해부 : 국가주의에 대한 근원적 진단과 대안,머레이 N. 라스바드,바른북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150110867/XL,
"단백질 혁명 : 인체 원리에서 신약 개발까지, 바이오 시대를 이끄는 새로운 과학",김성훈,웅진지식하우스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150117158/XL,
"아무튼, 레코드 : 음악만큼은, 조금 더 번거롭게 듣고 싶다",성진환,위고,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149122218/XL,
"필사, 어른이 되는 시간 :  소란한 세상에서 평온함을 찾는 가장 고귀한 방법",나태주,북로그컴퍼니,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149079903/XL,
편안함의 습격,마이클 이스터,수오서재,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149079905/XL,
"지지 않는 대화 : 2,400년간 성공하는 사람들만이 알았던 아리스토텔레스의 대화 전략",다카하시 겐타로,비즈니스북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149100910/XL,
인생은 게임이다 : 원하는 현실을 창조하는 9가지 법칙,플로렌스 스코벨 쉰 지음 | 최해직(권영신) 엮음,노들,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149119073/XL,
혼자 기대하고 상처받지 마라 : 관계에 배신당하는 당신을 위한 감정 브레이크 연습,하야시 겐타로,갤리온,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149125133/XL,
