title,author,publisher,library,platform,provider,image_url,isbn
공감에 관하여,이금희,다산책방,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801130672770/L4801130672770.jpg,
결국 너의 시간은 온다,염경엽,웅진지식하우스,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4808901298757/L4808901298757.jpg,
블루 시스터스,코코 멜러스,클레이하우스,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801193235677/L4801193235677.jpg,
모두를 위한 디자인은,김병수,휴머니스트,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801170873816/L4801170873816.jpg,
헤매는 중이지만 해내는 중입니다,박민욱(필림),베가북스,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801192488814/L4801192488814.jpg,
산만한 아이를 위한 본질육아,지나영,21세기북스,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801173575250/L4801173575250.jpg,
차별하지 않는다는 착각,홍성수,어크로스,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801167742460/L4801167742460.jpg,
아무도 오지 않는 곳에서,천선란,허블,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801193078700/L4801193078700.jpg,
2025 김승옥문학상 수상작품집,최은미,문학동네,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801141602643/L4801141602643.jpg,
나는 괴이 너는 괴물,시라이 도모유키,내친구의서재,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801191803502/L4801191803502.jpg,
평범하지만 부자가 되고 싶어,김종봉,다산북스,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801130671667/L4801130671667.jpg,
"원팀, 우리는 승리한다",신태용,알에이치코리아,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4808925573212/L4808925573212.jpg,
인생 리셋,이드페이퍼,데이원,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801173351571/L4801173351571.jpg,
그렇게 안녕,김효인,위즈덤하우스,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801171715139/L4801171715139.jpg,
시체는 거짓말하지 않는다,유성호,위즈덤하우스,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801171715306/L4801171715306.jpg,
ETF 첫걸음 : 주식보다 똑똑한 투자의 정답,조진우,한즈미디어,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/480N250928820/L480N250928820.jpg,
비트코인 슈퍼 사이클 2026,신민철(처리형),거인의정원,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801193869315/L4801193869315.jpg,
여름에 내가 원한 것,서한나,한겨레출판사,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801172133048/L4801172133048.jpg,
줄 서서 보는 그림의 비밀,이정우,투래빗,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801199056382/L4801199056382.jpg,
실패를 통과하는 일,박소령,북스톤,광진구립도서관 (소장),Kyobo_New,교보문고,https://ebook.gwangjinlib.seoul.kr:446/upload/21221/content/ebook/4801175230089/L4801175230089.jpg,
