title,author,publisher,library,platform,provider,image_url,isbn,brcd,ctts_dvsn_code,ctgr_id,sntn_auth_code
고양이는 어디든지 갈 수 있다,장아미,자음과모음,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4808954452489/L4808954452489.jpg,,4808954452489,001,110101,1113679801
질문 수업 레시피,이성일,맘에드림,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801189404995/L4801189404995.jpg,,4801189404995,001,0739,1001641503
그 사람은 왜 자꾸 내 말을 끊을까,로버트 볼튼,트로이목마,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801192959604/L4801192959604.jpg,,4801192959604,001,0309,2000728501
괜찮은 어른이 된다는 것,김경집,오아시스,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801168273499/L4801168273499.jpg,,4801168273499,001,0735,1001139701
"인류 멸종, 생각보다 괜찮은 아이디어",토드 메이,위즈덤하우스,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801171715115/L4801171715115.jpg,,4801171715115,001,0735,2002125401
차별하지 않는다는 착각,홍성수,어크로스,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801167742460/L4801167742460.jpg,,4801167742460,001,1501,1000676704
뤼미에르 피플,장강명,한겨레출판사,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801172133185/L4801172133185.jpg,,4801172133185,001,110101,1112697801
재무제표 핵심 투자 수업,차영주,클랩북스,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801193941509/L4801193941509.jpg,,4801193941509,001,010907,1114727001
내일은 달콤한 기분,김혜정,다산어린이,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801130671650/L4801130671650.jpg,,4801130671650,001,330505,1000130027
노 피플 존,정이현,문학동네,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801141613434/L4801141613434.jpg,,4801141613434,001,110101,1000312401
진실의 언어,살만 루슈디,문학동네,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801141613151/L4801141613151.jpg,,4801141613151,001,050303,2000012501
나는 미쳐가고 있는 기후과학자입니다,케이트 마블,웅진지식하우스,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4808901297538/L4808901297538.jpg,,4808901297538,001,1913,2024600801
시체는 거짓말하지 않는다,유성호,위즈덤하우스,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801171715306/L4801171715306.jpg,,4801171715306,001,0735,1000395904
비트코인 슈퍼 사이클 2026,신민철(처리형),거인의정원,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801193869315/L4801193869315.jpg,,4801193869315,001,010901,1001315005
없어질 행성에서 씁니다,신진용,문학동네,중구통합전자도서관,Kyobo_New,교보문고,https://ebook.junggulib.or.kr/upload/20518/content/ebook/4801141602766/L4801141602766.jpg,,4801141602766,001,050101,1118633302
