title,author,publisher,library,platform,provider,image_url,isbn
벵크하임 남작의 귀향,"크러스너호르커이 라슬로 저자, 노승영 번역",알마,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/480D251018340/L480D251018340.jpg,
세계는 계속된다,크러스너호르커이 라슬로,알마,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/480D251018350/L480D251018350.jpg,
마이 가디언 2,이재문,이지북,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801193914954/L4801193914954.jpg,
문제는 당신이 아닙니다,백선영,문예춘추사,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4808976047557/L4808976047557.jpg,
나는 내 상사가 대장이면 좋겠다,데니스 뇌르마르크,자음과모음,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4808954472982/L4808954472982.jpg,
니체의 사악한 말,이진우,휴머니스트,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801170873793/L4801170873793.jpg,
이렇게 말하면 행운이 올 거야,김범준,클랩북스,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801193941417/L4801193941417.jpg,
참 괜찮은 말들,박지현,메이븐,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801199092946/L4801199092946.jpg,
드디어 만나는 아즈텍 신화,카밀라 타운센드,현대지성,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801139716567/L4801139716567.jpg,
차이나테크의 역습,이철,경이로움,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801194508404/L4801194508404.jpg,
사랑으로 읽는 세계사,에드워드 브룩 히칭,현대지성,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801139727334/L4801139727334.jpg,
내 감정은 틀린 적이 없다,이혜진,유노책주,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801171831372/L4801171831372.jpg,
산뜻한 계절의 감성을 담은 봄여름 뜨개,박옥민,책밥,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801193049632/L4801193049632.jpg,
세상을 뒤집은 과학기술의 역사,시라토리 케이,시그마북스,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801168623973/L4801168623973.jpg,
기준이 있는 부모가 아이를 성장시킨다,하유정,카시오페아,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801168273376/L4801168273376.jpg,
네게 쓴 메일함,김기우,창해,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801171740216/L4801171740216.jpg,
감정의 과학 SHIFT,이선 크로스,웅진지식하우스,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4808901297477/L4808901297477.jpg,
건강지속력,조셉킴,보리출판사,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801163144060/L4801163144060.jpg,
과학산문,김상욱,복복서가,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801191114905/L4801191114905.jpg,
"리딩, 읽을 수 없음",세유아,팩토리나인,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801194755761/L4801194755761.jpg,
