title,author,publisher,library,platform,provider,image_url,isbn
도파민 세대를 위한 문해력 특강,이승화,문예춘추사,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4808976047663/L4808976047663.jpg,
8번 출구,가와무라 겐키,소미미디어,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801138441255/L4801138441255.jpg,
애플 인 차이나,패트릭 맥기,인플루엔셜,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801168343185/L4801168343185.jpg,
"인류 멸종, 생각보다 괜찮은 아이디어",토드 메이,위즈덤하우스,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801171715115/L4801171715115.jpg,
차별하지 않는다는 착각,홍성수,어크로스,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801167742460/L4801167742460.jpg,
불안해도 괜찮습니다,최영원,국일미디어,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4808974259549/L4808974259549.jpg,
마흔의 기술,이호선,오아시스,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801168273536/L4801168273536.jpg,
미술관 여행자를 위한 도슨트 북,카미유 주노,윌북아트,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801155818542/L4801155818542.jpg,
아무도 오지 않는 곳에서,천선란,허블,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801193078700/L4801193078700.jpg,
2025 김승옥문학상 수상작품집,최은미,문학동네,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801141602643/L4801141602643.jpg,
뤼미에르 피플,장강명,한겨레출판사,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801172133185/L4801172133185.jpg,
스테이블코인 전쟁 2026년 경제전망,김광석,이든하우스,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801194353318/L4801194353318.jpg,
고양이 미술관,박송이,빅피시,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801199401045/L4801199401045.jpg,
나는 괴이 너는 괴물,시라이 도모유키,내친구의서재,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801191803502/L4801191803502.jpg,
파사주,강성봉,한겨레출판사,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801172133215/L4801172133215.jpg,
지극히 사적인 영국,피터 빈트,틈새책방,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/480D251010250/L480D251010250.jpg,
동전으로 보는 세계사,민영기,북랩,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801172248117/L4801172248117.jpg,
감정 시계,강도형,쌤앤파커스,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801194755723/L4801194755723.jpg,
천문학이라는 위로,황호성,21세기북스,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801173574901/L4801173574901.jpg,
시체는 거짓말하지 않는다,유성호,위즈덤하우스,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801171715306/L4801171715306.jpg,
오로라,데이비드 켑,문학세계사,마포구 전자도서관,Kyobo_New,교보문고,https://ebook.mapo.go.kr/upload/20874/content/ebook/4801193001531/L4801193001531.jpg,
