title,author,publisher,library,platform,provider,image_url,isbn,brcd,ctts_dvsn_code,ctgr_id,sntn_auth_code
새로운 질서,헨리 키신저,윌북,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801155818443/L4801155818443.jpg,,4801155818443,001,010101,2003611201
당연한 것들을 의심하는 100가지 철학,오가와 히토시,이든서재,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801194812044/L4801194812044.jpg,,4801194812044,001,0723,2002409801
우리는 다른 미래를  상상할 수 있을까,노엄 촘스키,알토북스,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801194655092/L4801194655092.jpg,,4801194655092,001,0735,2000002101
지금부터 부자가 될 시간,이경애,밀리언서재,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801199315311/L4801199315311.jpg,,4801199315311,001,030105,1000231009
확률로 바라본 수학적 일상,장톈룽,미디어숲,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801158742554/L4801158742554.jpg,,4801158742554,001,1903,2024221901
초역 쇼펜하우어의 말,아르투어 쇼펜하우어,지혜의숲,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801193282312/L4801193282312.jpg,,4801193282312,001,0735,2000063101
유무죄 세계의 사랑법,정명원,한겨레출판사,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801172132836/L4801172132836.jpg,,4801172132836,001,0735,1000950202
서울의 하이스트리트,김성순,디자인하우스,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4808970413211/L4808970413211.jpg,,4808970413211,001,010101,1001119606
이병한의 아메리카 탐문,이병한,서해문집,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801194413456/L4801194413456.jpg,,4801194413456,001,1709,1001712302
중국 패권전략,김흥규,더봄,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801192386387/L4801192386387.jpg,,4801192386387,001,1511,1000132707
화장실 옆 마음인문학,이안백,미래북,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801192073768/L4801192073768.jpg,,4801192073768,001,0735,1121202401
"다시, 몸으로",김초엽,래빗홀,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801168342959/L4801168342959.jpg,,4801168342959,001,110111,1113286601
민주주의 손자병법,김병주,메디치미디어,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801157064558/L4801157064558.jpg,,4801157064558,001,1511,1000071415
창문 너머 예술,박소현,문예춘추사,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4808976047380/L4808976047380.jpg,,4808976047380,001,2901,
"필사, 어른이 되는 시간",나태주,북로그컴퍼니,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801168031235/L4801168031235.jpg,,4801168031235,001,050101,1000134901
역사를 보다 2,박현도,믹스커피,노원구립도서관,Kyobo_New,교보문고,https://eb.nowonlib.kr/upload/24236/content/ebook/4801170436578/L4801170436578.jpg,,4801170436578,001,1701,1116706301
