title,author,publisher,library,image_url,isbn
0,임선우,위즈덤하우스,서초구 전자도서관 (YES24),,
13.67,찬호께이,한스미디어,서초구 전자도서관 (YES24),,
29.7,정석헌,비전코리아,서초구 전자도서관 (YES24),,
77,시바 싱,불광출판사,서초구 전자도서관 (YES24),,
125,케이시,플랜비(PlanB),서초구 전자도서관 (YES24),,
1026,김진명,새움,서초구 전자도서관 (YES24),,
1945,마이클 돕스,모던아카이브,서초구 전자도서관 (YES24),,
1962,마이클 돕스,모던아카이브,서초구 전자도서관 (YES24),,
1984,조지 오웰,지경사,서초구 전자도서관 (YES24),,
1984,조지 오웰,부북스,서초구 전자도서관 (YES24),,
노인과 바다  다이제스트로 읽는 세계 명작,어니스트 헤밍웨이,도서출판 앱북,서초구 전자도서관 (YES24),,
당신의 뉴턴은 안녕하십니까   - 출퇴근 한뼘지식 시리즈 64,과학동아 디지털 편집부,과학동아북스,서초구 전자도서관 (YES24),,
리어 왕  다이제스트로 읽는 세계 명작,윌리엄 셰익스피어,도서출판 앱북,서초구 전자도서관 (YES24),,
마음을 리모델링하다  - 출퇴근 한뼘지식 시리즈 63,과학동아 디지털 편집부,과학동아북스,서초구 전자도서관 (YES24),,
맥베스  다이제스트로 읽는 세계 명작,윌리엄 셰익스피어,도서출판 앱북,서초구 전자도서관 (YES24),,
백설공주도 쿨톤일까   - 출퇴근 한뼘지식 시리즈 67,과학동아 디지털 편집부,과학동아북스,서초구 전자도서관 (YES24),,
부활  다이제스트로 읽는 세계 명작,톨스토이,도서출판 앱북,서초구 전자도서관 (YES24),,
슈퍼 화산 대폭발_한반도 운명이 뒤바뀐다  - 출퇴근 한뼘지식 시리즈 70,과학동아 디지털 편집부,과학동아북스,서초구 전자도서관 (YES24),,
슬리밍 사이언스  - 출퇴근 한뼘지식 시리즈 68,과학동아 디지털 편집부,과학동아북스,서초구 전자도서관 (YES24),,
아. 고구려!  광개토 대왕 1권,설대명,좋은땅,서초구 전자도서관 (YES24),,
아. 고구려!  광개토 대왕 2권,설대명,좋은땅,서초구 전자도서관 (YES24),,
어머니  다이제스트로 읽는 세계 명작,막심 고리키,도서출판 앱북,서초구 전자도서관 (YES24),,
여자의 일생  다이제스트로 읽는 세계 명작,기 드 모파상,도서출판 앱북,서초구 전자도서관 (YES24),,
오셀로  다이제스트로 읽는 세계 명작,윌리엄 셰익스피어,도서출판 앱북,서초구 전자도서관 (YES24),,
전쟁과 평화  다이제스트로 읽는 세계 명작,톨스토이,도서출판 앱북,서초구 전자도서관 (YES24),,
죄와 벌  다이제스트로 읽는 세계 명작,도스토옙스키,도서출판 앱북,서초구 전자도서관 (YES24),,
주홍 글씨  다이제스트로 읽는 세계 명작,너대니얼 호손,도서출판 앱북,서초구 전자도서관 (YES24),,
"지구 식량 해결사, 육종  - 출퇴근 한뼘지식 시리즈 62",과학동아 디지털 편집부,과학동아북스,서초구 전자도서관 (YES24),,
지구가 변신하는 슈퍼 아이디어 지구 공학  - 출퇴근 한뼘지식 시리즈 65,과학동아 디지털 편집부,과학동아북스,서초구 전자도서관 (YES24),,
천만불짜리 스트레스  - 출퇴근 한뼘지식 시리즈 66,과학동아 디지털 편집부,과학동아북스,서초구 전자도서관 (YES24),,
최신개정판  JLPT(일본어능력시험) 한권으로 끝내기 N1,"이치우,기타지마 치즈코 (北嶋千鶴子)",다락원,서초구 전자도서관 (YES24),,
최신개정판  JLPT(일본어능력시험) 한권으로 끝내기 N2,"이치우,기타지마 치즈코 (北嶋千鶴子)",다락원,서초구 전자도서관 (YES24),,
취업면접 기출질문 300  공무원&공공기관,표형종,진서원,서초구 전자도서관 (YES24),,
카라마조프가의 형제들  다이제스트로 읽는 세계 명작,도스토옙스키,도서출판 앱북,서초구 전자도서관 (YES24),,
편집자 vs 편집자 1  잘 나가는 편집자들은 누구일까,김은현,출판저널,서초구 전자도서관 (YES24),,
편집자 vs 편집자 2  잘 나가는 편집자들은 누구일까,김은현,출판저널,서초구 전자도서관 (YES24),,
햄릿  다이제스트로 읽는 세계 명작,윌리엄 셰익스피어,도서출판 앱북,서초구 전자도서관 (YES24),,
행복한 동물원이 뜬다  - 출퇴근 한뼘지식 시리즈 69,과학동아 디지털 편집부,과학동아북스,서초구 전자도서관 (YES24),,
대표님을 위한 인사(HR) 가이드,rebound,부크크(Bookk),서초구 전자도서관 (YES24),,
"""힘내""를 대신할 말을 찾았다",김예란,허밍버드,서초구 전자도서관 (YES24),,
#너에게,하태완,넥서스BOOKS,서초구 전자도서관 (YES24),,
#예능작가,김진태 (엮음),도토리,서초구 전자도서관 (YES24),,
