title,author,publisher,library,platform,provider,image_url,isbn,brcd,ctts_dvsn_code,ctgr_id,sntn_auth_code
같은 생각 다른 표현: 영어토론 편,장승진,프랙티쿠스,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4808968930461/L4808968930461.jpg,,4808968930461,001,1307,1002130002
동전으로 보는 세계사,민영기,북랩,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801172248117/L4801172248117.jpg,,4801172248117,001,1707,1000598212
정서적 연봉,신재용,21세기북스,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801173574710/L4801173574710.jpg,,4801173574710,001,0113,1000015903
시체는 거짓말하지 않는다,유성호,위즈덤하우스,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801171715306/L4801171715306.jpg,,4801171715306,001,0735,1000395904
"재무제표, 돈의 흐름을 읽어라",강대준,비즈니스북스,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801162544403/L4801162544403.jpg,,4801162544403,001,0117,1002168601
처음이지만 프로처럼 쓰는 노션 Notion,박한용(노션너굴),디지털북스,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4808960884977/L4808960884977.jpg,,4808960884977,001,2109,1109163603
부동산 트렌드 2026,김경민,와이즈맵,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801124011004/L4801124011004.jpg,,4801124011004,001,010905,1000853007
수잔의 비건 레시피,수잔,시대인,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801138399044/L4801138399044.jpg,,4801138399044,001,252301,1121446901
실패를 통과하는 일,박소령,북스톤,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801175230089/L4801175230089.jpg,,4801175230089,001,0121,1120618901
리얼 오사카: 교토 고베 나라(2026~2027),황성민,한빛라이프,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801194725221/L4801194725221.jpg,,4801194725221,001,270311,1114607101
다크 심리학 2: 휘둘리지 않는 법,다크 인사이트,다크인사이트스튜디오,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801193282428/L4801193282428.jpg,,4801193282428,001,0745,1121431601
다크 심리학 3: 설득의 법칙,다크 인사이트,다크인사이트스튜디오,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801193282435/L4801193282435.jpg,,4801193282435,001,0745,1121431601
다크 심리학: 심리 조종의 기술,다크 인사이트,다크인사이트스튜디오,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801193282411/L4801193282411.jpg,,4801193282411,001,0745,1121431601
인생은 호르몬,데이비드 JP 필립스,윌북,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801155818528/L4801155818528.jpg,,4801155818528,001,1913,2024457101
편의점의 진화,나카무라 나오후미,워터베어프레스,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801191484350/L4801191484350.jpg,,4801191484350,001,011101,2024513601
내 마음이 지옥일 때 부처가 말했다,코이케 류노스케,웅진지식하우스,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4808901297149/L4808901297149.jpg,,4808901297149,001,0735,2001549701
트렌드 코리아 2026,김난도,미래의창,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801193638850/L4801193638850.jpg,,4801193638850,001,010101,1000698301
환상의 책,폴 오스터,북다,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/480D250928070/L480D250928070.jpg,,480D250928070,001,110301,2000026701
우리는 무엇을 타고나는가,케빈 J. 미첼,오픈도어북스,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801173741525/L4801173741525.jpg,,4801173741525,001,0735,2007026201
소년과 녹나무,히가시노 게이고,소미미디어,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801138439023/L4801138439023.jpg,,4801138439023,001,330505,2000110201
감정의 과학 SHIFT,이선 크로스,웅진지식하우스,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4808901297477/L4808901297477.jpg,,4808901297477,001,0747,2004928401
중국사 다이제스트100,안정애,가람기획,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4808984355989/L4808984355989.jpg,,4808984355989,001,1707,1001280604
클래식이 알고 싶다: 인상 카페 편,안인모,위즈덤하우스,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801171714866/L4801171714866.jpg,,4801171714866,001,2903,1113381101
하우스메이드 3,프리다 맥파든,북플라자,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801193324555/L4801193324555.jpg,,4801193324555,001,110303,2010904501
450만 올블랑TV 여주엽의 유튜브 수업,여주엽,클라우드나인,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/4801194534328/L4801194534328.jpg,,4801194534328,001,010101,1118276001
공허의 시대,조남호,웅진지식하우스,서대문구립도서관 (소장),Kyobo_New,교보문고,https://ebook.sdm.or.kr/upload/20305/content/ebook/480D250975210/L480D250975210.jpg,,480D250975210,001,030101,
