title,author,publisher,library,platform,provider,image_url,isbn,brcd,ctts_dvsn_code,ctgr_id,sntn_auth_code
마이 가디언 2,이재문,이지북,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801193914954/L4801193914954.jpg,,4801193914954,001,3509,1113494401
바라는 대로 이루어지는 부의 법칙,제임스 앨런,이너북,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801194697177/L4801194697177.jpg,,4801194697177,001,030101,2000086301
네가 남긴 365일,유이하,모모,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801194979037/L4801194979037.jpg,,4801194979037,001,110501,2014445901
실패를 통과하는 일,박소령,북스톤,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801175230089/L4801175230089.jpg,,4801175230089,001,0121,1120618901
어차피 곧 죽을 텐데,고사카 마구로,알파미디어,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801175020093/L4801175020093.jpg,,4801175020093,001,110503,2024491401
여름밤 해변의 무무 씨,조해진,다산책방,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801130669800/L4801130669800.jpg,,4801130669800,001,110101,1001964101
팔로워 시대의 몰락,백성국,드림셀러,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801192788440/L4801192788440.jpg,,4801192788440,001,011901,1121416801
여자가 사랑한 여자들,이예지,위즈덤하우스,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801171714941/L4801171714941.jpg,,4801171714941,001,050301,1000825916
인생은 호르몬,데이비드 JP 필립스,윌북,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801155818528/L4801155818528.jpg,,4801155818528,001,1913,2024457101
저소비 생활,가제노타미,알에이치코리아,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4808925573229/L4808925573229.jpg,,4808925573229,001,030101,2024456801
참 괜찮은 말들,박지현,메이븐,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801199092946/L4801199092946.jpg,,4801199092946,001,0735,1000640834
파과 각본집,민규동,위즈덤하우스,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801171715085/L4801171715085.jpg,,4801171715085,001,2927,1119511503
내 마음이 지옥일 때 부처가 말했다,코이케 류노스케,웅진지식하우스,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4808901297149/L4808901297149.jpg,,4808901297149,001,0735,2001549701
또 다른 실종자,질리언 매캘리스터,반타,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801194979105/L4801194979105.jpg,,4801194979105,001,110303,2013375701
어둠 속의 남자,폴 오스터,북다,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/480D250927880/L480D250927880.jpg,,480D250927880,001,110301,
어떻게 말해야 사람의 마음을 얻는가,앨리슨 우드 브룩스,웅진지식하우스,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4808901297378/L4808901297378.jpg,,4808901297378,001,0303,2024513101
트렌드 코리아 2026,김난도,미래의창,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801193638850/L4801193638850.jpg,,4801193638850,001,010101,1000698301
환상의 책,폴 오스터,북다,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/480D250928070/L480D250928070.jpg,,480D250928070,001,110301,2000026701
곰-사냥-인간,김홍,위즈덤하우스,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801171714903/L4801171714903.jpg,,4801171714903,001,110101,1000130702
다산의 문장들,조윤제,오아시스,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801168273253/L4801168273253.jpg,,4801168273253,001,0735,1000748303
드디어 만나는 아즈텍 신화,카밀라 타운센드,현대지성,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801139716567/L4801139716567.jpg,,4801139716567,001,1723,2021435401
양면의 조개껍데기,김초엽,래빗홀,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801168343109/L4801168343109.jpg,,4801168343109,001,110111,1113286601
오늘도 불안한 엄마들에게,양소영,담담사무소,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801197120061/L4801197120061.jpg,,4801197120061,001,2515,1101989604
우리는 무엇을 타고나는가,케빈 J. 미첼,오픈도어북스,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801173741525/L4801173741525.jpg,,4801173741525,001,0735,2007026201
모든 세계가 하나였다,박대겸,북다,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801170612941/L4801170612941.jpg,,4801170612941,001,110101,1115039102
사랑으로 읽는 세계사,에드워드 브룩 히칭,현대지성,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801139727334/L4801139727334.jpg,,4801139727334,001,1707,2024498201
"서울 한 바퀴, 둘레길 여행",이준휘,링크북스,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801199095220/L4801199095220.jpg,,4801199095220,001,2701,1112851201
매일 뉴스로 출근하는 여자,한민용,이야기장수,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801194184479/L4801194184479.jpg,,4801194184479,001,050301,1115318001
산뜻한 계절의 감성을 담은 봄여름 뜨개,박옥민,책밥,성북구 도서관,Kyobo_New,교보문고,https://elibrary.sblib.seoul.kr/upload/20085/content/ebook/4801193049632/L4801193049632.jpg,,4801193049632,001,271117,1120723401
