title,author,publisher,library,image_url,isbn,provider,platform
해피 커플 [전자책],바톤 골드스미스,처음북스,서울도서관 (API),,,,Mixed
내 아이를 바꾸는 아빠의 말 [전자책],김범준,애플북스,서울도서관 (API),,,,Mixed
암치료혁명 [전자책],김동석,상상출판사,서울도서관 (API),,,,Mixed
우유의 역습 [전자책],티에리 수카르,알마,서울도서관 (API),,,,Mixed
하루 10분 엄마표 지능코칭 [전자책],"클레어 고든, 린 허긴스-쿠퍼",아름다운사람들,서울도서관 (API),,,,Mixed
10년 후 시장의 미래 [전자책],트렌즈(Trends)지 특별취재팀,일상과이상,서울도서관 (API),,,,Mixed
"금융, 따뜻한 혁명을 꿈꾸다 [전자책]",문진수,북돋움,서울도서관 (API),,,,Mixed
당신은 혁신가입니까 [전자책],아담 브라이언트,처음북스,서울도서관 (API),,,,Mixed
리더는 마지막에 먹는다 [전자책],사이먼 사이넥,36.5,서울도서관 (API),,,,Mixed
리더의 조건 [전자책],김철관,미디어북,서울도서관 (API),,,,Mixed
신뢰의 마법 [전자책],"김경익, 박성현",다산3.0,서울도서관 (API),,,,Mixed
"인류 최악의 미덕, 탐욕 [전자책]",스테파노 자마니,북돋움,서울도서관 (API),,,,Mixed
중국 천재가 된 홍대리 2 [전자책],"김만기, 박보현",다산라이프,서울도서관 (API),,,,Mixed
최고의 사업가는 어떻게 그 자리에 섰는가 [전자책],닐 루이스,아라크네,서울도서관 (API),,,,Mixed
퍼펙트 워크 [전자책],"왕중추, 주신위에",다산북스,서울도서관 (API),,,,Mixed
협동조합 다시 생각하기 [전자책],신성식,알마,서울도서관 (API),,,,Mixed
불량 유전자는 왜 살아남았을까 [전자책],강신익,페이퍼로드,서울도서관 (API),,,,Mixed
내 아이를 바라는 대로 키우는 부모 연습 [전자책],신규진,아름다운사람들,서울도서관 (API),,,,Mixed
부모 심리 아이 심리 [전자책],황상민,경향미디어(오이북),서울도서관 (API),,,,Mixed
세계 최고의 학교는 왜 인성에 집중할까 [전자책],"최유진, 장재혁",다산에듀,서울도서관 (API),,,,Mixed
누군가 내 사랑을 노리고 있다 [전자책],김정일,청조사,서울도서관 (API),,,,Mixed
엄마의 주례사 [전자책],김재용,시루,서울도서관 (API),,,,Mixed
올 에프 선생님 [전자책],미야모토 마사하루,다산에듀,서울도서관 (API),,,,Mixed
이게 다 야구 때문이다 [전자책],서효인,다산책방,서울도서관 (API),,,,Mixed
지금은 행복을 복습하는 시간 [전자책],김경집,지식의숲,서울도서관 (API),,,,Mixed
팀 홍명보호 스토리 : 감독 홍명보와 국가대표 선수들이 펼친 1271일간의 대장정 [전자책],도영인,북오션,서울도서관 (API),,,,Mixed
인생은 연극이고 인간은 배우라는 오래된 대사에 관하여 [전자책],최불암 저,샘터사,서울도서관 (API),,,,Mixed
피고 지고 피고 지고 [전자책],이만희 저,지만지,서울도서관 (API),,,,Mixed
높은 중국 낮은 중국 [전자책],김정현,황금물고기,서울도서관 (API),,,,Mixed
"역사인물 인터뷰역사인물 인터뷰 : 세계사인물 다시보기, 진시황에서 이토 히로부미까지 [전자책]",최용범,페이퍼로드,서울도서관 (API),,,,Mixed
