title,author,publisher,library,image_url
보통의 노을,,자음과모음,송파구 도서관 (API),
우리가 사랑한 내일들,,한겨레출판,송파구 도서관 (API),
내가 죽기를 바라는 자들,,다락원,송파구 도서관 (API),
소크라테스 익스프레스,,어크로스,송파구 도서관 (API),
공간의 미래 : 코로나가 가속화시킨 공간 변화,,을유문화사,송파구 도서관 (API),
오래 머금고 뱉는 말,,빌리버튼,송파구 도서관 (API),
강원국의 어른답게 말합니다 : 품격 있는 삶을 위한 최소한의 말공부,,웅진지식하우스,송파구 도서관 (API),
따님이 기가 세요 : 유쾌한 여자 둘의 비혼 라이프,,포르체,송파구 도서관 (API),
금요일의 괴담회,,북오션,송파구 도서관 (API),
부의 시나리오 : 불확실성을 기회로 만드는 4가지 투자전략,,페이지2,송파구 도서관 (API),
지구인만큼 지구를 사랑할 순 없어,,위즈덤하우스,송파구 도서관 (API),
디디미니의 초간단 인생맛 고단백 저탄수화물 다이어트 레시피,,빅피시,송파구 도서관 (API),
99℃,,인사이트북스,송파구 도서관 (API),
부의 추월차선,,토트출판사,송파구 도서관 (API),
왜 물이 사라지면 안 되나요?,,참돌,송파구 도서관 (API),
왜 탄소발자국이 뚱뚱해지면 안 되나요?,,참돌,송파구 도서관 (API),
일하기 전엔 몰랐던 것들,,웅진지식하우스,송파구 도서관 (API),
디지털 세상이 아이를 아프게 한다,,북클라우드,송파구 도서관 (API),
블라인드사이드 - 생각의 사각지대,,아름다운사람들,송파구 도서관 (API),
당신은 소셜한가?,,삼성경제연구소,송파구 도서관 (API),
어른의 공부법,,토트출판사,송파구 도서관 (API),
월경독서 越境讀書,,생각정원,송파구 도서관 (API),
주군의 태양 1,,소네트,송파구 도서관 (API),
보통날의 물리학,,이케이북,송파구 도서관 (API),
"수신확인, 차별이 내게로 왔다",,오월의봄,송파구 도서관 (API),
군대심리학,,책이있는풍경,송파구 도서관 (API),
적도 내 편으로 만드는 대화법,,황소북스,송파구 도서관 (API),
주군의 태양 2,,소네트,송파구 도서관 (API),
일등에는 신념이 있다,,가디언,송파구 도서관 (API),
