title,author,publisher,library,provider,platform,image_url,isbn,goods_id
구미호 꽃집,신은영,이지북,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801193914732/M4801193914732.jpg,,4801193914732
공감에 관하여,이금희,다산책방,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801130672770/M4801130672770.jpg,,4801130672770
쓸모 있는 세계사 365,요나스 구세나에르츠,정민미디어,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801191669849/M4801191669849.jpg,,4801191669849
감각의 설계자들,김양아,북스톤,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801175230096/M4801175230096.jpg,,4801175230096
나의 첫 AI 수학,오세준,맘에드림,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801189404872/M4801189404872.jpg,,4801189404872
진돗개 두 마리와 네덜란드에서 살고 있습니다,박혜령,위즈덤하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801171715481/M4801171715481.jpg,,4801171715481
하루 5분 윤주코치 5cm+ 운동법,윤주코치,베가북스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801194831083/M4801194831083.jpg,,4801194831083
유연한 완벽주의자,엘런 헨드릭슨,어크로스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801167742408/M4801167742408.jpg,,4801167742408
HBR 위대한 통찰,하버드비즈니스리뷰,비즈니스북스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801162544427/M4801162544427.jpg,,4801162544427
설탕 전쟁,최광용,한겨레출판사,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801172132874/M4801172132874.jpg,,4801172132874
유명 식당에서 몰래 알려주는 깜짝 놀란 만큼 맛있는 닭가슴살 반찬,가사하라 마사히로,시그마북스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801168623812/M4801168623812.jpg,,4801168623812
어린 변호사,허교범,위즈덤하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801194770108/M4801194770108.jpg,,4801194770108
너를 아끼며 살아라 : 나태주 시인이 들려주는 가장 소중한 말,나태주,더블북,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/148406405/M,,148406405
세계 경제 지각 변동,박종훈,글로퍼스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801198987632/M4801198987632.jpg,,4801198987632
간절히 말하면 기적처럼 이루어진다,이유진,유노북스,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/148569285/M,,148569285
온전한 사랑의 이해,다니엘,사운드인사이트(Sound Insight),송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801194507193/M4801194507193.jpg,,4801194507193
끝까지 해내는 뇌,카이라 보비넷,갤리온,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/148320614/M,,148320614
세상에서 가장 짧은 경제사 : 5000년 부의 흐름을 읽는,앤드루 리,웅진지식하우스,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/148342564/M,,148342564
고래눈이 내리다,김보영,래빗홀,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/148343260/M,,148343260
별의 커비 울트라 슈퍼 푸푸푸 히어로 2,아오키 케이,다산어린이,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801130663341/M4801130663341.jpg,,4801130663341
바다가 삼킨 세계사 : 12척 난파선에서 발견한 3500년 세계사 대항해,데이비드 기빈스,다산초당,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/149609850/M,,149609850
너무 늦은 시간,클레어 키건,다산책방,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801130664904/M4801130664904.jpg,,4801130664904
달콤한 곰 님의 교실에서는,정유경,천개의바람,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801165736195/M4801165736195.jpg,,4801165736195
모든 감정은 소중해!,물보라(이정은),다락원,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808927748205/M4808927748205.jpg,,4808927748205
"아무튼, 리코더",황선우,코난북스,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/148837178/M,,148837178
궤도,서맨사 하비,서해문집,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801194413395/M4801194413395.jpg,,4801194413395
책이 말을 걸다 : 23인의 삶을 바꾼 책 이야기,"한우수,기장구닥다리,성장러너,언어프로듀서,leeway,글자산,책키럽맘,바다소리,원씽고,해피저니,킬러힐러",작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/148762170/M,,148762170
불안에 관하여,베레나 카스트,을유문화사,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/148806329/M,,148806329
부모의 감정 어휘력,김종원,카시오페아,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801168273321/M4801168273321.jpg,,4801168273321
과학의 최전선,패트릭 크래머,21세기북스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801173573492/M4801173573492.jpg,,4801173573492
교과서를 넘나드는 초등 어린이 신문 경제,장원호,시대에듀,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801138383678/M4801138383678.jpg,,4801138383678
기자의 글쓰기: 실전편 싸움의 기술,박종인,와이즈맵,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801189328949/M4801189328949.jpg,,4801189328949
스위치온 다이어트 레시피북,박용우,루미너스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801198553370/M4801198553370.jpg,,4801198553370
인생은 게임이다 : 원하는 현실을 창조하는 9가지 법칙,플로렌스 스코벨 쉰 지음 | 최해직(권영신) 엮음,노들,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/149119073/M,,149119073
돈의 얼굴 : 미치도록 보고 싶었던,"EBS 돈의 얼굴 제작진,조현영",영진닷컴,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/149128272/M,,149128272
지지 않는 대화,다카하시 겐타로,비즈니스북스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801162544304/M4801162544304.jpg,,4801162544304
편안함의 습격,마이클 이스터,수오서재,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801193238692/M4801193238692.jpg,,4801193238692
언와인드,닐 셔스터먼,열린책들,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/148882773/M,,148882773
왜 그들만 부자가 되는가,"필립 바구스,안드레아스 마르크바르트",북모먼트,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/148915911/M,,148915911
우리의 낙원에서 만나자,하태완,북로망스,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/149079394/M,,149079394
사랑에 빠지지 말 것 사랑을 할 것,슈히,딥앤와이드,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/149603390/M,,149603390
생각이 너무 많은 당신에게,한창욱,정민미디어,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801191669931/M4801191669931.jpg,,4801191669931
모든 일에는 다 순서가 있는 법,한근태,클라우드나인,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801194534281/M4801194534281.jpg,,4801194534281
귤이랑 노래해,김미희,다그림책(키다리),송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801198960123/M4801198960123.jpg,,4801198960123
작은 죽음이 찾아왔어요,키티 크라우더,논장,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808984145344/M4808984145344.jpg,,4808984145344
목탄,조이 콩스탕,논장,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808984145405/M4808984145405.jpg,,4808984145405
작은 사람과 신,키티 크라우더,논장,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808984145412/M4808984145412.jpg,,4808984145412
사랑의 질감,윤우진,나무옆의자,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/149326561/M,,149326561
미묘한 메모의 묘미 : 시작은 언제나 메모였다,김중혁,유유,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/149359094/M,,149359094
납작한 말들,오찬호,어크로스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801167742170/M4801167742170.jpg,,4801167742170
뒤늦게 한의대 편입생이 되었습니다,한지혜,작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151117444/M,,151117444
엄마의 자존감,전미경,카시오페아,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801168273161/M4801168273161.jpg,,4801168273161
나만의 꿈을 찾아요,이서윤,데이스타,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801168273338/M4801168273338.jpg,,4801168273338
영원을 향하여,안톤 허,반타,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/150033736/M,,150033736
선녀 세탁소,한진희,북극곰,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801165884513/M4801165884513.jpg,,4801165884513
이제 나는 명랑하게 살기로 했다,이호선,오아시스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801168273314/M4801168273314.jpg,,4801168273314
초역 명상록,마르쿠스 아우렐리우스,각주,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801194415092/M4801194415092.jpg,,4801194415092
야만의 해변에서,캐럴라인 도즈 페넉,까치,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808972918684/M4808972918684.jpg,,4808972918684
슬로 조깅 혁명,다나카 히로아키,웅진지식하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808901296579/M4808901296579.jpg,,4808901296579
뇌가 멈추기 전에 : 서울대학교병원 뇌신경학자의 뇌졸중을 피하고 건강하게 오래 사는 법,이승훈,21세기북스,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/149584911/M,,149584911
빨간내복야코 안 읽으면 완전 위험한 과학책 2: 집 나가면 위기,박종은,위즈덤하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801171713418/M4801171713418.jpg,,4801171713418
진조쌤 35일 기적의 수영책,진종남,서스테인,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801193388199/M4801193388199.jpg,,4801193388199
이메르의 거미,치넨 미키토,북다,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/480N250792610/M480N250792610.jpg,,480
열심히 살아도 불안한 사람들,랄리타 수글라니,알에이치코리아(RHK),송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/150195928/M,,150195928
"징계를 마칩니다 : 일 좋아하던 평범한 검사, 총장과 맞서다",박은정,안나푸르나,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/150240948/M,,150240948
"다시, 가슴 뛰는 삶을 살아라",다릴 앙카,알에이치코리아(RHK),송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/150340346/M,,150340346
한국인의 눈으로 본 근대 일본의 역사,박훈,어크로스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801167742217/M4801167742217.jpg,,4801167742217
오징어약사의 혈당 블로킹,오징어약사(김선영),21세기북스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801173573775/M4801173573775.jpg,,4801173573775
생일엔 마라탕 4: 2% 부족한 마마의 마라탕,류미정,밝은미래,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808965467250/M4808965467250.jpg,,4808965467250
생일엔 마라탕 5: 꿔바로우를 부르는 마라탕,류미정,밝은미래,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808965467519/M4808965467519.jpg,,4808965467519
각성,김요한,떠오름,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/149876895/M,,149876895
미니멀리스트 창업가 : 위대한 창업가는 어떻게 작게 시작해 크게 이루는가,사힐 라빈지아,캐피탈엣지랩스,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/150274151/M,,150274151
안녕 고비,김영수,애플기획,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/150308711/M,,150308711
매달려,김현태,dodo,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801174570612/M4801174570612.jpg,,4801174570612
나만의 자비스 만들기,이혜진,유페이퍼,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/150158577/M,,150158577
주문하신 복근 나왔습니다,캥맨(최재영),중앙북스(books),송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151362103/M,,151362103
치즈 이야기,조예은,문학동네,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801141602568/M4801141602568.jpg,,4801141602568
어쩌다 배구,양자현,천개의바람,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801165736256/M4801165736256.jpg,,4801165736256
유령 유실물 보관소,고정욱,크레용하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801171211624/M4801171211624.jpg,,4801171211624
빨간내복야코 안 읽으면 완전 위험한 과학책 1: 일상이 위기,박종은,위즈덤하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801171712794/M4801171712794.jpg,,4801171712794
조종당하는 인간,김석재,스노우폭스북스P,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/150647282/M,,150647282
줄이 다시 시작되는 곳,페르 디비그,내인생의책,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801157236474/M4801157236474.jpg,,4801157236474
내 마음 들키지 않게,강석희,빈페이지,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801193873169/M4801193873169.jpg,,4801193873169
리얼 일본 소도시(2025~2026),정꽃나래,한빛라이프,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801194725184/M4801194725184.jpg,,4801194725184
학교에서 로봇 키운 건 비밀이야!,나가츠키 아리스,개암나무,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808968308567/M4808968308567.jpg,,4808968308567
일주일 식탁풍경,류향란,유페이퍼,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151358732/M,,151358732
제로 웨이스트가 뭐예요?,장성익,풀빛,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801161729863/M4801161729863.jpg,,4801161729863
전학생,김화요,이지북,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801193914985/M4801193914985.jpg,,4801193914985
초등학생이 꼭 알아야 할 독립운동가 100인,주환선,바이킹,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808964947623/M4808964947623.jpg,,4808964947623
서울의 하이스트리트,김성순,디자인하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808970413211/M4808970413211.jpg,,4808970413211
엄마가 꼭 알아야할 우리아이 영어 1등의 비밀  : 전교 1등 만드는 영어과외 선생님 진짜 공부법,윤소라,작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151117496/M,,151117496
당연한 것들을 의심하는 100가지 철학 : 철학자에게 배우는 새로운 시선,오가와 히토시,이든서재,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151158316/M,,151158316
부자의 기술 : 상위 1%로 가는 부의 로드맵,"박승영,김수연",티더블유아이지,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/149224834/M,,149224834
나는 나를 때리러 간다 : 몸으로 사유한 중년 여성의 존재 회복기,김현정(RUEN),작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151116923/M,,151116923
돈이 자유다,얼음공장,황금부엉이,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808960306516/M4808960306516.jpg,,4808960306516
말하지 않고 이기기로 했다,최명기,시공사,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151211149/M,,151211149
미치광희 최광희입니다,최광희,크레타,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151759744/M,,151759744
자유로운 생활,오송민,위즈덤하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801171714668/M4801171714668.jpg,,4801171714668
이웃집 너스에이드,치넨 미키토,소담,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801160274913/M4801160274913.jpg,,4801160274913
내 마음의 조각들이 시가 되었네,"유승희,canva,챗gpt",작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/150559386/M,,150559386
"나는 오늘도 빠르다, 그래서 혼자다",은날,e퍼플,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151671748/M,,151671748
"이세돌, 인생의 수읽기",이세돌,웅진지식하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808901296883/M4808901296883.jpg,,4808901296883
나의 꿈 100억 부자 할머니 : 부동산을 시작하고 싶은 사람들에게 쉽게 읽는 경제 소설,부자복녀(김문경),작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151117516/M,,151117516
드림보드 : 꿈을 이루는 사람들의 원칙,양지연,작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151250302/M,,151250302
월요일 수요일 토요일,페트라 펠리니,북파머스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801193937823/M4801193937823.jpg,,4801193937823
비만 해방,데이비드 A. 케슬러,웅진지식하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808901296708/M4808901296708.jpg,,4808901296708
