title,author,publisher,library,platform,provider,image_url,isbn
직진형 인간,임진강(데미안),빌리버튼,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801192999990/L4801192999990.jpg,
아무도 오지 않는 곳에서,천선란,허블,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193078700/L4801193078700.jpg,
같은 생각 다른 표현: 영어토론 편,장승진,프랙티쿠스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4808968930461/L4808968930461.jpg,
내 인생의 운명을 바꾸는 자신감 철학,샤를 페팽,아이템하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801157771746/L4801157771746.jpg,
질서 없음,헬렌 톰슨,윌북,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801155818498/L4801155818498.jpg,
착! 붙는 중국어 문법,중국어공부기술연구소,시사중국어사,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801157202745/L4801157202745.jpg,
평범하지만 부자가 되고 싶어,김종봉,다산북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801130671667/L4801130671667.jpg,
대단한 인체,야마모토 다케히토,위즈덤하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801171714873/L4801171714873.jpg,
지극히 사적인 영국,피터 빈트,틈새책방,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/480D251010250/L480D251010250.jpg,
"까불지 마, 인생 안 끝났어",순자엄마(임순자),21세기북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801173574826/L4801173574826.jpg,
나는 삶이 답답할 때 부처를 읽는다,우뤄취안,알토북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194655153/L4801194655153.jpg,
마음을 움직이는 단 하나의 질문,이수경,지니의서재,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194620175/L4801194620175.jpg,
인생은 테니스!,이동혁,이든서재,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194812082/L4801194812082.jpg,
정서적 연봉,신재용,21세기북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801173574710/L4801173574710.jpg,
집중력 상실의 시대,홋타 슈고,시옷책방,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801199150608/L4801199150608.jpg,
시체는 거짓말하지 않는다,유성호,위즈덤하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801171715306/L4801171715306.jpg,
"재무제표, 돈의 흐름을 읽어라",강대준,비즈니스북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801162544403/L4801162544403.jpg,
바라는 대로 이루어지는 부의 법칙,제임스 앨런,이너북,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194697177/L4801194697177.jpg,
태어난 김에 수학 공부: 기하,샘 하트번,윌북,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801155818689/L4801155818689.jpg,
태어난 김에 수학 공부: 대수,케이티 스텍클스,윌북,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801155818672/L4801155818672.jpg,
부동산 트렌드 2026,김경민,와이즈맵,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801124011004/L4801124011004.jpg,
주도섹터 돌파매매 전략,김대현,이레미디어,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193394794/L4801193394794.jpg,
2026 트렌드 노트,박현영,북스톤,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801175230126/L4801175230126.jpg,
"AI 시대, 나는 무엇으로 빛날까",최영숙,미디어숲,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801158749119/L4801158749119.jpg,
머리 좋은 사람만 아는 설득력,히라다 다카코,더페이지,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194156285/L4801194156285.jpg,
스님의 청소법,마스노 슌묘,유노책주,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801171831396/L4801171831396.jpg,
라이프 트렌드 2026,김용섭,부키,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193528908/L4801193528908.jpg,
