title,author,publisher,library,provider,platform,image_url,isbn
오르부아 에두아르 : 나는 프랑스 책벌레와 이혼했다,이주영,나비클럽,영등포구 도서관,YES24,YES24,/images/bookimg/435057162.png,
크리에이티브 웨이 : 도둑맞은 창조성을 되찾는 10가지 방법,리처드 홀먼,현대지성,영등포구 도서관,YES24,YES24,/images/bookimg/446934900.jpg,
법구경 마음공부 : 걱정 많은 삶을 평온하게 바꾸는 법,정운,유노책주,영등포구 도서관,YES24,YES24,/images/bookimg/447061382.jpg,
도쿄대 암기법 : 암기의 신이 알려주는 기억력 200% 활용법,미야구치 기미토시,빅피시,영등포구 도서관,YES24,YES24,/images/bookimg/447511752.jpg,
세스 매트리얼 : 지식 너머의 진실,제인 로버츠,터닝페이지,영등포구 도서관,YES24,YES24,/images/bookimg/445851672.jpg,
그렇게 아버지가 된다,"고레에다 히로카즈,사노 아키라",알에이치코리아(RHK),영등포구 도서관,YES24,YES24,/images/bookimg/L_1841421.jpg,
머니룰,에스더 힉스 & 제리 힉스,나비스쿨(NAVI SCHOOL),영등포구 도서관,YES24,YES24,/images/bookimg/446499621.jpg,
완전하다는 거짓말,소류,작가와,영등포구 도서관,YES24,YES24,/images/bookimg/L_1841123.jpg,
아무리 잘해줘도 당신 곁에 남지 않는다,전미경,위즈덤하우스,영등포구 도서관,YES24,YES24,/images/bookimg/446347255.jpg,
"호르몬은 어떻게 나를 움직이는가 : 순간의 감정부터 일생의 변화까지, 내 삶을 지배하는 호르몬의 모든 것",막스 니우도르프배명자 역,어크로스,영등포구 도서관,YES24,YES24,/images/bookimg/446036407.jpg,
리더는 무엇에 집중하는가,존 맥스웰,비즈니스북스,영등포구 도서관,YES24,YES24,/images/bookimg/445769407.jpg,
벌거벗은 한국사 : 조선편 : 500년 역사가 눈앞에 펼쳐지는 스토리텔링 조선사,tvN STORY 〈벌거벗은 한국사〉 제작팀,프런트페이지,영등포구 도서관,YES24,YES24,/images/bookimg/444170402.jpg,
엄마들에게 들려주고 싶은 자존감 회복 이야기 : 마음 근력이 답이다,스마일 엘린,작가와,영등포구 도서관,YES24,YES24,/images/bookimg/L_1840265.jpg,
물질의 세계 : 6가지 물질이 그려내는 인류 문명의 대서사시,에드 콘웨이,인플루엔셜,영등포구 도서관,YES24,YES24,/images/bookimg/442628222.jpg,
"여기에도 길이 있을까? : 지역아동센터여서, 생활복지사여서 길이 없다고 느꼈던 이곳에서 마음을 치유하고 나만의 길을 찾게 된 인생 회복 스토리",하나비,작가와,영등포구 도서관,YES24,YES24,/images/bookimg/L_1839767.jpg,
완치 비만 : 당신은 어떻게 살 안 찌는 사람으로 변했나요?,조승우,사이몬북스,영등포구 도서관,YES24,YES24,/images/bookimg/445778088.jpg,
자존감 회복 수업 : 내가 좋아지고 관계가 편해지는,충페이충,유노북스,영등포구 도서관,YES24,YES24,/images/bookimg/446520058.jpg,
클리어 씽킹 : 탁월한 결과에 이르는 생각의 디테일,셰인 패리시,알에이치코리아(RHK),영등포구 도서관,YES24,YES24,/images/bookimg/445259594.jpg,
결국 해내면 그만이다,정영욱,놀,영등포구 도서관,YES24,YES24,/images/bookimg/445774168.jpg,
꿈의 인문학 : 인간의식의 진화에서 꿈의 역할은 무엇인가,싯다르타 히베이루,흐름출판,영등포구 도서관,YES24,YES24,/images/bookimg/445350213.jpg,
상대적이며 절대적인 고양이 백과사전,베르나르 베르베르,열린책들,영등포구 도서관,YES24,YES24,/images/bookimg/L_1562541.jpg,
"인정받고 싶어서 오늘도 애쓰고 말았다 : 타인에게 휘둘리지 않고, 자기희생을 멈추고 편안하게 인정받는 삶을 위한 ‘인정 욕구 사용 설명서’",이혜진,카시오페아,영등포구 도서관,YES24,YES24,/images/bookimg/403025158.jpg,
돌봄과 작업 : 나를 잃지 않고 엄마가 되려는 여자들,"정서경,서유미,홍한별,임소연,장하원,전유진,박재연,엄지혜,이설아,김희진, 서수연",돌고래,영등포구 도서관,YES24,YES24,/images/bookimg/403250616.jpg,
한경아르떼 합스부르크 600년 매혹의 걸작들 100배 즐기기,한경arte 특별취재팀,한국경제신문,영등포구 도서관,YES24,YES24,/images/bookimg/L_1561056.jpg,
자살가게,장 퇼레,열림원,영등포구 도서관,YES24,YES24,/images/bookimg/403404433.jpg,
"업무와 일상을 정리하는 새로운 방법 노션 Notion : 생각 정리부터 업무 생산성, 협업 관리 도구를 노션 하나로!","전시진,이해봄 공저",제이펍,영등포구 도서관,YES24,YES24,/images/bookimg/401116432.jpg,
어떤 고독은 외롭지 않다 : 우리가 사랑한 작가들의 낭만적 은둔의 기술,"헨리 데이비드 소로,버지니아 울프,에드거 앨런 포 등저",인플루엔셜,영등포구 도서관,YES24,YES24,/images/bookimg/L_1565544.jpg,
너의 하루가 따숩길 바라,고은지,북라이프,영등포구 도서관,YES24,YES24,/images/bookimg/403383753.jpg,
"조국의 법고전 산책 : 열다섯 권의 고전, 그 사상가들을 만나다",조국,오마이북,영등포구 도서관,YES24,YES24,/images/bookimg/L_1556933.jpg,
전부였던 사람이 떠나갔을 때 태연히 밥을 먹기도 했다,박근호,히읏,영등포구 도서관,YES24,YES24,/images/bookimg/L_1557593.jpg,
기대의 발견 : 믿는 것이 현실이 되는 마인드셋,데이비드 롭슨,까치(까치글방),영등포구 도서관,YES24,YES24,/images/bookimg/406620783.jpg,
교사의 말 연습 : 상처 주지 않으면서 할 말은 다 하는,김성효,빅피시,영등포구 도서관,YES24,YES24,/images/bookimg/406946144.jpg,
"더블 : 두 구의 시체, 두 명의 살인자",정해연,해피북스투유,영등포구 도서관,YES24,YES24,/images/bookimg/L_1575406.jpg,
모든 감정의 끝은 감사함으로,김태형,아루이,영등포구 도서관,YES24,YES24,/images/bookimg/L_1577198.jpg,
열정 기차의 파우제,박자연,미리내 명상책방,영등포구 도서관,YES24,YES24,/images/bookimg/L_1579385.jpg,
부자의 인문학 : 돈의 흐름을 읽고 경제의 정곡을 찌르는,가야 게이치,문예춘추사,영등포구 도서관,YES24,YES24,/images/bookimg/L_1558891.jpg,
오늘부터 작심만일,나건일,비즈니스북스,영등포구 도서관,YES24,YES24,/images/bookimg/406906422.jpg,
