title,author,publisher,library,platform,provider,image_url,isbn,brcd,ctts_dvsn_code,ctgr_id,sntn_auth_code
마이 가디언 3,이재문,이지북,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199398192/L4801199398192.jpg,,4801199398192,001,330505,1113494401
아이의 뇌는 부모의 태도를 기억한다,도모다 아케미,퍼스트페이지,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199340023/L4801199340023.jpg,,4801199340023,001,2513,2002134801
공부 뇌는 만들어진다,노규식,웅진지식하우스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808901298733/L4808901298733.jpg,,4808901298733,001,2513,1102022501
이상한 과학책,김진우(은잡지),빅피시,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199491718/L4801199491718.jpg,,4801199491718,001,1903,1000117058
이상한 문장 그만 쓰는 법,이주윤,빅피시,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199491732/L4801199491732.jpg,,4801199491732,001,0719,1113155801
산만한 아이를 위한 본질육아,지나영,21세기북스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801173575250/L4801173575250.jpg,,4801173575250,001,2511,1116059201
애플 인 차이나,패트릭 맥기,인플루엔셜,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801168343185/L4801168343185.jpg,,4801168343185,001,0103,2024481101
마이 가디언 2,이재문,이지북,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193914954/L4801193914954.jpg,,4801193914954,001,3509,1113494401
마흔의 기술,이호선,오아시스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801168273536/L4801168273536.jpg,,4801168273536,001,031115,1001459905
365일 클래식이라는 습관,조현영,현대지성,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801139728416/L4801139728416.jpg,,4801139728416,001,290901,1114756701
달러 이후의 질서,케네스 로고프,윌북,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801155818740/L4801155818740.jpg,,4801155818740,001,010101,2024604801
미술관 여행자를 위한 도슨트 북,카미유 주노,윌북아트,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801155818542/L4801155818542.jpg,,4801155818542,001,2901,2024584601
아무도 오지 않는 곳에서,천선란,허블,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193078700/L4801193078700.jpg,,4801193078700,001,110101,1113621501
티처조의 영어식 사고 수업,조찬웅,동양북스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801172101337/L4801172101337.jpg,,4801172101337,001,1305,1117558901
그 여름의 왈츠,원유순,안녕로빈,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801191942652/L4801191942652.jpg,,4801191942652,001,3509,1000017701
고양이 미술관,박송이,빅피시,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199401045/L4801199401045.jpg,,4801199401045,001,2901,1111223807
교육의 수익률을 높여라,박경인,크리에이티브탱크,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199079503/L4801199079503.jpg,,4801199079503,001,2513,1114111602
질서 없음,헬렌 톰슨,윌북,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801155818498/L4801155818498.jpg,,4801155818498,001,1501,2024549301
최소한의 생존 체력 운동,백관장(백승덕),클,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801194374467/L4801194374467.jpg,,4801194374467,001,2301,1118920602
팔씨름 고수의 비밀,신채연,한빛에듀,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801169214293/L4801169214293.jpg,,4801169214293,001,330505,1113077501
지극히 사적인 영국,피터 빈트,틈새책방,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/480D251010250/L480D251010250.jpg,,480D251010250,001,1705,
하의 수선의 모든 것,장호진,북랩,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801172248216/L4801172248216.jpg,,4801172248216,001,271117,1116526805
나를 돌보는 철학,문성훈,을유문화사,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808932475745/L4808932475745.jpg,,4808932475745,001,0723,1115080602
집중력 상실의 시대,홋타 슈고,시옷책방,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199150608/L4801199150608.jpg,,4801199150608,001,030101,2002426601
철학의 눈으로 본 노년 (장애인 접근성 강화 도서),이재영,아카넷,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808957339817/L4808957339817.jpg,,4808957339817,001,0727,1000269329
손자병법,손자,현대지성,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801139728003/L4801139728003.jpg,,4801139728003,001,0735,2000063001
시체는 거짓말하지 않는다,유성호,위즈덤하우스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801171715306/L4801171715306.jpg,,4801171715306,001,0735,1000395904
"재무제표, 돈의 흐름을 읽어라",강대준,비즈니스북스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801162544403/L4801162544403.jpg,,4801162544403,001,0117,1002168601
달리기 인류,마이클 크롤리,서해문집,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801194413579/L4801194413579.jpg,,4801194413579,001,0735,2024476901
"AI 시대, 나는 무엇으로 빛날까",최영숙,미디어숲,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801158749119/L4801158749119.jpg,,4801158749119,001,3527,1114534807
마지막엔 누룽지나 오차즈케로,후카자와 우시오,공명,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808997870905/L4808997870905.jpg,,4808997870905,001,050305,2002561301
머리 좋은 사람만 아는 설득력,히라다 다카코,더페이지,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801194156285/L4801194156285.jpg,,4801194156285,001,0303,2024534201
수학을 못한다는 착각,다비드 베시,두시의나무,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801198876233/L4801198876233.jpg,,4801198876233,001,1907,2024473601
스님의 청소법,마스노 슌묘,유노책주,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801171831396/L4801171831396.jpg,,4801171831396,001,030101,2001932001
파리의 심리학 카페,모드 르안,클랩북스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193941462/L4801193941462.jpg,,4801193941462,001,0745,2002900901
달리는 엄마는 흔들리지 않는다,임자영,빈티지하우스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199302120/L4801199302120.jpg,,4801199302120,001,2511,
어른의 품위,최서영,북로망스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193937694/L4801193937694.jpg,,4801193937694,001,050301,1101827304
줄 서서 보는 그림의 비밀,이정우,투래빗,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199056382/L4801199056382.jpg,,4801199056382,001,2901,1000271951
챗GPT 공부 혁명,전지영,포르체,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801194634417/L4801194634417.jpg,,4801194634417,001,2513,1000922319
몬스터 킬러,윤자영,네오픽션,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801157404743/L4801157404743.jpg,,4801157404743,001,110103,1112649105
산타가 되고 싶은 고양이 ‘랑’이,조영희,책보다더조은,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199010230/L4801199010230.jpg,,4801199010230,001,310505,1000765815
"소크라테스, 법정에서 진리를 말하다",김철홍,천개의바람,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801165736508/L4801165736508.jpg,,4801165736508,001,330327,1115280602
실패를 통과하는 일,박소령,북스톤,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801175230089/L4801175230089.jpg,,4801175230089,001,0121,1120618901
"양반전, 돈만 있으면 신분도 살 수 있지",손주현,천개의바람,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801165736331/L4801165736331.jpg,,4801165736331,001,330501,1001902302
어차피 곧 죽을 텐데,고사카 마구로,알파미디어,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801175020093/L4801175020093.jpg,,4801175020093,001,110503,2024491401
우리 가족 인기투표,이루리,이루리북스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193545707/L4801193545707.jpg,,4801193545707,001,310505,1112364201
똥 탈출기,김미소진,북극곰,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801165884520/L4801165884520.jpg,,4801165884520,001,310505,1117348801
자동차에 관한 거의 모든 이야기,루카 데 메오,미래의창,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193638843/L4801193638843.jpg,,4801193638843,001,2799,2024484001
인생은 호르몬,데이비드 JP 필립스,윌북,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801155818528/L4801155818528.jpg,,4801155818528,001,1913,2024457101
저소비 생활,가제노타미,알에이치코리아,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808925573229/L4808925573229.jpg,,4808925573229,001,030101,2024456801
참 괜찮은 말들,박지현,메이븐,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199092946/L4801199092946.jpg,,4801199092946,001,0735,1000640834
내 마음이 지옥일 때 부처가 말했다,코이케 류노스케,웅진지식하우스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808901297149/L4808901297149.jpg,,4808901297149,001,0735,2001549701
머니 트렌드 2026,김도윤,북모먼트,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193937687/L4801193937687.jpg,,4801193937687,001,010101,1112370201
아들 사춘기 대 갱년기,제성은,개암나무,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808968308512/L4808968308512.jpg,,4808968308512,001,330505,1113446601
어둠 속의 남자,폴 오스터,북다,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/480D250927880/L480D250927880.jpg,,480D250927880,001,110301,
트렌드 코리아 2026,김난도,미래의창,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193638850/L4801193638850.jpg,,4801193638850,001,010101,1000698301
다산의 문장들,조윤제,오아시스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801168273253/L4801168273253.jpg,,4801168273253,001,0735,1000748303
드디어 만나는 아즈텍 신화,카밀라 타운센드,현대지성,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801139716567/L4801139716567.jpg,,4801139716567,001,1723,2021435401
양면의 조개껍데기,김초엽,래빗홀,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801168343109/L4801168343109.jpg,,4801168343109,001,110111,1113286601
어떤 탕수육,김마리,뉘앙스(NUANCE),용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801198491795/L4801198491795.jpg,,4801198491795,001,050301,1114054307
오늘도 불안한 엄마들에게,양소영,담담사무소,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801197120061/L4801197120061.jpg,,4801197120061,001,2515,1101989604
우리는 무엇을 타고나는가,케빈 J. 미첼,오픈도어북스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801173741525/L4801173741525.jpg,,4801173741525,001,0735,2007026201
조용하지만 강한 사람들,성유미,큰숲,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801194979501/L4801194979501.jpg,,4801194979501,001,0745,1113239601
최소한의 윤리,이권우,어크로스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801167742354/L4801167742354.jpg,,4801167742354,001,0727,1001881301
"서울 한 바퀴, 둘레길 여행",이준휘,링크북스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199095220/L4801199095220.jpg,,4801199095220,001,2701,1112851201
월화수토토토일,신채연,한빛에듀,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801169214286/L4801169214286.jpg,,4801169214286,001,330505,1113077501
매일 가볍게 한 칸 도시락,김경민,래디시,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193406077/L4801193406077.jpg,,4801193406077,001,252301,1000853042
소년과 녹나무,히가시노 게이고,소미미디어,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801138439023/L4801138439023.jpg,,4801138439023,001,330505,2000110201
휴대폰 나라의 왕,김승희,이을출판사,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801199066374/L4801199066374.jpg,,4801199066374,001,330505,1000083803
마약 전쟁,요한 하리,어크로스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801167742309/L4801167742309.jpg,,4801167742309,001,0735,2015037501
망한 사랑 구조법,앨릭스 노리스,밝은미래,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808965467564/L4808965467564.jpg,,4808965467564,001,050503,2019962101
우먼 인 캐빈 10,루스 웨어,필름(Feelm),용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193262727/L4801193262727.jpg,,4801193262727,001,110303,2001968301
한국에서 선수하는 여자들의 이야기,이유미,브레인스토어,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801169780422/L4801169780422.jpg,,4801169780422,001,050301,1000263932
할머니의 고물 재봉틀,이규희,밝은미래,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808965467274/L4808965467274.jpg,,4808965467274,001,330505,1000234901
구리구리 세상에서 가장 행복한 개구리,베르너 홀츠바르트,책빛,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808962195033/L4808962195033.jpg,,4808962195033,001,310505,2000010901
김대석 셰프의 집밥 레시피 3,김대석,경향BP,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808969526281/L4808969526281.jpg,,4808969526281,001,252303,1115975103
샘 올트먼: AI 제국의 설계자,저우헝싱,지니의서재,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801194620151/L4801194620151.jpg,,4801194620151,001,030101,2024451201
세상에서 가장 쉬운 그림 그리기 3~6세,카모,하늘을나는교실,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4808994757711/L4808994757711.jpg,,4808994757711,001,3101,
하우스메이드 3,프리다 맥파든,북플라자,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193324555/L4801193324555.jpg,,4801193324555,001,110303,2010904501
흔적,Maple Yip,도서출판 에이에스,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801197732776/L4801197732776.jpg,,4801197732776,001,050301,2024442501
시선 너머의 지식,윤수용,북플레저,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801193937786/L4801193937786.jpg,,4801193937786,001,0735,1107026902
개구리 수영장,2025-09-10,노란돼지,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801159955052/L4801159955052.jpg,,4801159955052,001,310505,
기술공화국 선언,알렉스 카프,지식노마드,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801192248340/L4801192248340.jpg,,4801192248340,001,010101,2024372201
말뚝들,김홍,한겨레출판사,용산구 전자도서관,Kyobo_New,교보문고,https://ebook.yslibrary.or.kr/upload/23243/content/ebook/4801172133062/L4801172133062.jpg,,4801172133062,001,110103,1000130702
